iter	Passed	Remaining
634	1129	2249
635	1130	2247
636	1133	2247
637	1135	2245
638	1136	2243
639	1138	2241
640	1141	2241
641	1143	2239
642	1144	2237
643	1146	2235
644	1148	2235
645	1150	2232
646	1152	2231
647	1153	2228
648	1155	2227
649	1157	2225
650	1159	2224
651	1161	2223
652	1162	2220
653	1165	2220
654	1167	2218
655	1168	2216
656	1170	2213
657	1171	2211
658	1174	2210
659	1175	2208
660	1177	2207
661	1178	2204
662	1181	2205
663	1183	2202
664	1185	2201
665	1186	2199
666	1190	2200
667	1192	2199
668	1197	2202
669	1199	2201
670	1200	2199
671	1202	2197
672	1204	2196
673	1206	2194
674	1208	2192
675	1209	2190
676	1211	2189
677	1214	2188
678	1216	2186
679	1217	2184
680	1219	2183
681	1221	2182
682	1223	2180
683	1225	2178
684	1227	2177
685	1230	2177
686	1232	2175
687	1233	2173
688	1235	2171
689	1237	2169
690	1239	2168
691	1240	2166
692	1242	2164
693	1244	2161
694	1246	2161
695	1249	2161
696	1251	2159
697	1254	2161
698	1257	2159
699	1258	2157
700	1260	2155
701	1262	2154
702	1264	2152
703	1265	2150
704	1267	2148
705	1270	2147
706	1271	2145
707	1273	2143
708	1274	2141
709	1275	2138
710	1278	2138
711	1280	2135
712	1281	2133
713	1283	2131
714	1284	2129
715	1286	2127
716	1288	2125
717	1289	2123
718	1291	2121
719	1293	2120
720	1295	2118
721	1297	2116
722	1298	2114
723	1300	2112
724	1302	2111
725	1303	2108
726	1305	2106
727	1307	2104
728	1310	2104
729	1311	2102
730	1313	2100
731	1314	2097
732	1316	2096
733	1318	2094
734	1320	2093
735	1322	2091
736	1323	2089
737	1325	2086
738	1327	2086
739	1329	2083
740	1330	2081
741	1332	2079
742	1334	2077
743	1335	2075
744	1337	2073
745	1339	2071
746	1340	2069
747	1343	2068
748	1344	2066
749	1345	2063
750	1347	2061
751	1349	2059
752	1351	2058
753	1353	2056
754	1355	2054
755	1356	2052
756	1359	2052
757	1360	2050
758	1362	2048
759	1364	2046
760	1366	2045
761	1368	2043
762	1369	2041
763	1371	2039
764	1372	2036
765	1375	2036
766	1377	2034
767	1378	2032
768	1380	2030
769	1382	2029
770	1384	2027
771	1386	2025
772	1387	2023
773	1389	2020
774	1391	2020
775	1393	2018
776	1395	2016
777	1396	2014
778	1399	2013
779	1400	2011
780	1402	2009
781	1403	2007
782	1405	2005
783	1407	2004
784	1409	2002
785	1411	2000
786	1412	1998
787	1416	1998
788	1418	1997
789	1420	1995
790	1422	1994
791	1424	1992
792	1426	1991
793	1428	1989
794	1430	1987
795	1431	1985
796	1433	1984
797	1435	1982
798	1437	1981
799	1439	1978
800	1441	1977
801	1443	1975
802	1445	1974
